#τ ε τ_err ε_err
-6.077955636342061707e-01 3.966657390896211055e-02 1.229679589187959721e-03 9.815770574939999826e-04
-6.077955636342061707e-01 5.553320347254686595e-02 1.229679589187959721e-03 9.785806088195292407e-04
-6.077955636342061707e-01 7.139983303613173238e-02 1.229679589188070743e-03 9.745990932766707138e-04
-6.077955636342061707e-01 8.726646259971648778e-02 1.229679589188070743e-03 9.696365977571869132e-04
-6.077955636342061707e-01 1.031330921633013542e-01 1.229679589188070743e-03 9.636981954650458704e-04
-6.077955636342061707e-01 1.189997217268861096e-01 1.229679589187959721e-03 9.567899405011487390e-04
-6.077955636342061707e-01 1.348663512904709760e-01 1.229679589187959721e-03 9.489188614669463728e-04
-6.077955636342061707e-01 1.507329808540557314e-01 1.229679589188070743e-03 9.400929540957225772e-04
-6.077955636342061707e-01 1.665996104176405979e-01 1.229679589188070743e-03 9.303211729190519197e-04
-6.077955636342061707e-01 1.824662399812253533e-01 1.229679589188070743e-03 9.196134219789653397e-04
-6.077955636342061707e-01 1.983328695448102197e-01 1.229679589188070743e-03 9.079805445953437193e-04
-6.077955636342061707e-01 2.141994991083949751e-01 1.229679589187959721e-03 8.954343122006547251e-04
-6.077955636342061707e-01 2.300661286719798415e-01 1.229679589187959721e-03 8.819874122538151617e-04
-6.077955636342061707e-01 2.459327582355645969e-01 1.229679589188070743e-03 8.676534352462239585e-04
-6.077955636342061707e-01 2.617993877991495744e-01 1.229679589187959721e-03 8.524468608144264437e-04
-6.077955636342061707e-01 2.776660173627343298e-01 1.229679589187959721e-03 8.363830429734542271e-04
-6.077955636342061707e-01 2.935326469263190852e-01 1.229679589188070743e-03 8.194781944873552604e-04
-6.077955636342061707e-01 3.093992764899038406e-01 1.229679589188070743e-03 8.017493703926237281e-04
-6.077955636342061707e-01 3.252659060534888180e-01 1.229679589187959721e-03 7.832144506914051618e-04
-6.077955636342061707e-01 3.411325356170735734e-01 1.229679589188070743e-03 7.638921222339889461e-04
-6.077955636342061707e-01 3.569991651806583288e-01 1.229679589188070743e-03 7.438018598081574950e-04
-6.077955636342061707e-01 3.728657947442430842e-01 1.229679589187959721e-03 7.229639064529891357e-04
-6.077955636342061707e-01 3.887324243078280617e-01 1.229679589187959721e-03 7.013992530224832933e-04
-6.077955636342061707e-01 4.045990538714128171e-01 1.229679589188070743e-03 6.791296170138849675e-04
-6.077955636342061707e-01 4.204656834349975725e-01 1.229679589187959721e-03 6.561774206852444280e-04
-6.077955636342061707e-01 4.363323129985823279e-01 1.229679589188070743e-03 6.325657684848606799e-04
-6.077955636342061707e-01 4.521989425621673053e-01 1.229679589187959721e-03 6.083184238132033350e-04
-6.077955636342061707e-01 4.680655721257520607e-01 1.229679589187959721e-03 5.834597851420708636e-04
-6.077955636342061707e-01 4.839322016893368161e-01 1.229679589188070743e-03 5.580148615141888868e-04
-6.077955636342061707e-01 4.997988312529217936e-01 1.229679589187959721e-03 5.320092474483395506e-04
-6.077955636342061707e-01 5.156654608165065490e-01 1.229679589187959721e-03 5.054690972741138211e-04
-6.077955636342061707e-01 5.315320903800913044e-01 1.229679589188070743e-03 4.784210989223769417e-04
-6.077955636342061707e-01 5.473987199436760598e-01 1.229679589187959721e-03 4.508924471962050262e-04
-6.077955636342061707e-01 5.632653495072610372e-01 1.229679589187959721e-03 4.229108165504369410e-04
-6.077955636342061707e-01 5.791319790708457926e-01 1.229679589187959721e-03 3.945043334055986506e-04
-6.077955636342061707e-01 5.949986086344305480e-01 1.229679589187959721e-03 3.657015480221792458e-04
-6.077955636342061707e-01 6.108652381980153034e-01 1.229679589188070743e-03 3.365314059655677426e-04
-6.077955636342061707e-01 6.267318677616002809e-01 1.229679589188181765e-03 3.070232191862976023e-04
-6.077955636342061707e-01 6.425984973251850363e-01 1.229679589187848698e-03 2.772066367471293091e-04
-6.077955636342061707e-01 6.584651268887697917e-01 1.229679589187737676e-03 2.471116152226171536e-04
-6.077955636342061707e-01 6.743317564523545471e-01 1.229679589187848698e-03 2.167683888005811355e-04
-6.077955636342061707e-01 6.901983860159395245e-01 1.229679589188070743e-03 1.862074391187906741e-04
-6.077955636342061707e-01 7.060650155795242799e-01 1.229679589187737676e-03 1.554594648552898306e-04
-6.077955636342061707e-01 7.219316451431090353e-01 1.229679589187626654e-03 1.245553511171060279e-04
-6.077955636342061707e-01 7.377982747066940128e-01 1.229679589187182565e-03 9.352613864266334787e-05
-6.077955636342061707e-01 7.536649042702787682e-01 1.229679589187737676e-03 6.240299285797945572e-05
-6.077955636342061707e-01 7.695315338338635236e-01 1.229679589186405408e-03 3.121717280663016680e-05
-6.077955636342061707e-01 7.853981633974482790e-01 2.251436394801008545e-01 0.000000000000000000e+00
-5.920086658774735833e-01 -7.853981633974482790e-01 1.538599305652252891e-01 0.000000000000000000e+00
-5.920086658774735833e-01 -7.695315338338634126e-01 1.229679589189069944e-03 3.127044660700128986e-05
-5.920086658774735833e-01 -7.536649042702786572e-01 1.229679589188403810e-03 6.250932594320524061e-05
-5.920086658774735833e-01 -7.377982747066937907e-01 1.229679589188625854e-03 9.368510284779585362e-05
-5.920086658774735833e-01 -7.219316451431090353e-01 1.229679589188292788e-03 1.247663063478343659e-04
-5.920086658774735833e-01 -7.060650155795241689e-01 1.229679589187848698e-03 1.557215616694307414e-04
-5.920086658774735833e-01 -6.901983860159394135e-01 1.229679589188181765e-03 1.865196221437770419e-04
-5.920086658774735833e-01 -6.743317564523545471e-01 1.229679589188181765e-03 2.171294009853941276e-04
-5.920086658774735833e-01 -6.584651268887697917e-01 1.229679589187848698e-03 2.475200028969615218e-04
-5.920086658774735833e-01 -6.425984973251849253e-01 1.229679589188181765e-03 2.776607554770826880e-04
-5.920086658774735833e-01 -6.267318677616001699e-01 1.229679589188070743e-03 3.075212403952365392e-04
-5.920086658774735833e-01 -6.108652381980153034e-01 1.229679589188070743e-03 3.370713242965006629e-04
-5.920086658774735833e-01 -5.949986086344305480e-01 1.229679589188070743e-03 3.662811894132866897e-04
-5.920086658774735833e-01 -5.791319790708456816e-01 1.229679589188070743e-03 3.951213638442307996e-04
-5.920086658774735833e-01 -5.632653495072608152e-01 1.229679589188070743e-03 4.235627514719286779e-04
-5.920086658774735833e-01 -5.473987199436760598e-01 1.229679589187959721e-03 4.515766614872074314e-04
-5.920086658774735833e-01 -5.315320903800913044e-01 1.229679589188070743e-03 4.791348374924009335e-04
-5.920086658774735833e-01 -5.156654608165064380e-01 1.229679589188070743e-03 5.062094861488786179e-04
-5.920086658774735833e-01 -4.997988312529216270e-01 1.229679589187959721e-03 5.327733053417937903e-04
-5.920086658774735833e-01 -4.839322016893368161e-01 1.229679589187959721e-03 5.587995118342958811e-04
-5.920086658774735833e-01 -4.680655721257520052e-01 1.229679589187959721e-03 5.842618683779554623e-04
-5.920086658774735833e-01 -4.521989425621671943e-01 1.229679589188070743e-03 6.091347102583077877e-04
-5.920086658774735833e-01 -4.363323129985823834e-01 1.229679589187959721e-03 6.333929712409869239e-04
-5.920086658774735833e-01 -4.204656834349975725e-01 1.229679589188070743e-03 6.570122088984109432e-04
-5.920086658774735833e-01 -4.045990538714127061e-01 1.229679589187959721e-03 6.799686292864315362e-04
-5.920086658774735833e-01 -3.887324243078278951e-01 1.229679589187848698e-03 7.022391109480219384e-04
-5.920086658774735833e-01 -3.728657947442430842e-01 1.229679589188070743e-03 7.238012282199113301e-04
-5.920086658774735833e-01 -3.569991651806582733e-01 1.229679589188070743e-03 7.446332738174632482e-04
-5.920086658774735833e-01 -3.411325356170734624e-01 1.229679589188070743e-03 7.647142806755380384e-04
-5.920086658774735833e-01 -3.252659060534886515e-01 1.229679589187959721e-03 7.840240430235234648e-04
-5.920086658774735833e-01 -3.093992764899038406e-01 1.229679589188070743e-03 8.025431366734947503e-04
-5.920086658774735833e-01 -2.935326469263190297e-01 1.229679589188070743e-03 8.202529385010759455e-04
-5.920086658774735833e-01 -2.776660173627342187e-01 1.229679589187959721e-03 8.371356451000733223e-04
-5.920086658774735833e-01 -2.617993877991493523e-01 1.229679589187959721e-03 8.531742905918404674e-04
-5.920086658774735833e-01 -2.459327582355645969e-01 1.229679589187959721e-03 8.683527635726384641e-04
-5.920086658774735833e-01 -2.300661286719797305e-01 1.229679589187959721e-03 8.826558231818659728e-04
-5.920086658774735833e-01 -2.141994991083949751e-01 1.229679589187959721e-03 8.960691142766430417e-04
-5.920086658774735833e-01 -1.983328695448101087e-01 1.229679589187959721e-03 9.085791816965393952e-04
-5.920086658774735833e-01 -1.824662399812253533e-01 1.229679589187959721e-03 9.201734836064012768e-04
-5.920086658774735833e-01 -1.665996104176404868e-01 1.229679589187959721e-03 9.308404039033713051e-04
-5.920086658774735833e-01 -1.507329808540557314e-01 1.229679589188070743e-03 9.405692636781370908e-04
-5.920086658774735833e-01 -1.348663512904708650e-01 1.229679589188070743e-03 9.493503317180851386e-04
-5.920086658774735833e-01 -1.189997217268861096e-01 1.229679589187959721e-03 9.571748340435753954e-04
-5.920086658774735833e-01 -1.031330921633012432e-01 1.229679589187959721e-03 9.640349624693844710e-04
-5.920086658774735833e-01 -8.726646259971648778e-02 1.229679589187959721e-03 9.699238821824635037e-04
-5.920086658774735833e-01 -7.139983303613162136e-02 1.229679589187959721e-03 9.748357383306816004e-04
-5.920086658774735833e-01 -5.553320347254686595e-02 1.229679589187959721e-03 9.787656616168510793e-04
-5.920086658774735833e-01 -3.966657390896199953e-02 1.229679589188070743e-03 9.817097728927887124e-04
-5.920086658774735833e-01 -2.379994434537713310e-02 1.229679589187959721e-03 9.836651867515602832e-04
-5.920086658774735833e-01 -7.933314781792377701e-03 1.229679589187959721e-03 9.846300141140903323e-04
-5.920086658774735833e-01 7.933314781792488724e-03 1.229679589187959721e-03 9.846033638094241203e-04
-5.920086658774735833e-01 2.379994434537724413e-02 1.229679589187959721e-03 9.835853431489557930e-04
-5.920086658774735833e-01 3.966657390896211055e-02 1.229679589187959721e-03 9.815770574939861048e-04
-5.920086658774735833e-01 5.553320347254686595e-02 1.229679589187959721e-03 9.785806088195223018e-04
-5.920086658774735833e-01 7.139983303613173238e-02 1.229679589187959721e-03 9.745990932766845916e-04
-5.920086658774735833e-01 8.726646259971648778e-02 1.229679589187959721e-03 9.696365977571591577e-04
-5.920086658774735833e-01 1.031330921633013542e-01 1.229679589187959721e-03 9.636981954650458704e-04
-5.920086658774735833e-01 1.189997217268861096e-01 1.229679589187959721e-03 9.567899405011209835e-04
-5.920086658774735833e-01 1.348663512904709760e-01 1.229679589187959721e-03 9.489188614669741284e-04
-5.920086658774735833e-01 1.507329808540557314e-01 1.229679589187959721e-03 9.400929540957780883e-04
-5.920086658774735833e-01 1.665996104176405979e-01 1.229679589187959721e-03 9.303211729191074308e-04
-5.920086658774735833e-01 1.824662399812253533e-01 1.229679589187959721e-03 9.196134219789930953e-04
-5.920086658774735833e-01 1.983328695448102197e-01 1.229679589187959721e-03 9.079805445953159637e-04
-5.920086658774735833e-01 2.141994991083949751e-01 1.229679589187959721e-03 8.954343122006269695e-04
-5.920086658774735833e-01 2.300661286719798415e-01 1.229679589187959721e-03 8.819874122537874062e-04
-5.920086658774735833e-01 2.459327582355645969e-01 1.229679589187959721e-03 8.676534352462239585e-04
-5.920086658774735833e-01 2.617993877991495744e-01 1.229679589187959721e-03 8.524468608144264437e-04
-5.920086658774735833e-01 2.776660173627343298e-01 1.229679589187959721e-03 8.363830429733987160e-04
-5.920086658774735833e-01 2.935326469263190852e-01 1.229679589187959721e-03 8.194781944873552604e-04
-5.920086658774735833e-01 3.093992764899038406e-01 1.229679589187959721e-03 8.017493703925682169e-04
-5.920086658774735833e-01 3.252659060534888180e-01 1.229679589187959721e-03 7.832144506914051618e-04
-5.920086658774735833e-01 3.411325356170735734e-01 1.229679589187959721e-03 7.638921222340999684e-04
-5.920086658774735833e-01 3.569991651806583288e-01 1.229679589187848698e-03 7.438018598081019839e-04
-5.920086658774735833e-01 3.728657947442430842e-01 1.229679589187848698e-03 7.229639064529891357e-04
-5.920086658774735833e-01 3.887324243078280617e-01 1.229679589187959721e-03 7.013992530225388045e-04
-5.920086658774735833e-01 4.045990538714128171e-01 1.229679589187959721e-03 6.791296170138849675e-04
-5.920086658774735833e-01 4.204656834349975725e-01 1.229679589187959721e-03 6.561774206852444280e-04
-5.920086658774735833e-01 4.363323129985823279e-01 1.229679589187959721e-03 6.325657684849717022e-04
-5.920086658774735833e-01 4.521989425621673053e-01 1.229679589187959721e-03 6.083184238131478239e-04
-5.920086658774735833e-01 4.680655721257520607e-01 1.229679589187959721e-03 5.834597851420708636e-04
-5.920086658774735833e-01 4.839322016893368161e-01 1.229679589187848698e-03 5.580148615140778645e-04
-5.920086658774735833e-01 4.997988312529217936e-01 1.229679589187959721e-03 5.320092474483395506e-04
-5.920086658774735833e-01 5.156654608165065490e-01 1.229679589187959721e-03 5.054690972741138211e-04
-5.920086658774735833e-01 5.315320903800913044e-01 1.229679589187959721e-03 4.784210989223769417e-04
-5.920086658774735833e-01 5.473987199436760598e-01 1.229679589187959721e-03 4.508924471962050262e-04
-5.920086658774735833e-01 5.632653495072610372e-01 1.229679589187959721e-03 4.229108165504369410e-04
-5.920086658774735833e-01 5.791319790708457926e-01 1.229679589187848698e-03 3.945043334055986506e-04
-5.920086658774735833e-01 5.949986086344305480e-01 1.229679589187848698e-03 3.657015480222902681e-04
-5.920086658774735833e-01 6.108652381980153034e-01 1.229679589187959721e-03 3.365314059656787649e-04
-5.920086658774735833e-01 6.267318677616002809e-01 1.229679589187848698e-03 3.070232191861865800e-04
-5.920086658774735833e-01 6.425984973251850363e-01 1.229679589187959721e-03 2.772066367471293091e-04
-5.920086658774735833e-01 6.584651268887697917e-01 1.229679589187848698e-03 2.471116152226171536e-04
-5.920086658774735833e-01 6.743317564523545471e-01 1.229679589187737676e-03 2.167683888008031801e-04
-5.920086658774735833e-01 6.901983860159395245e-01 1.229679589187737676e-03 1.862074391184576072e-04
-5.920086658774735833e-01 7.060650155795242799e-01 1.229679589187626654e-03 1.554594648552898306e-04
-5.920086658774735833e-01 7.219316451431090353e-01 1.229679589187515631e-03 1.245553511171060279e-04
-5.920086658774735833e-01 7.377982747066940128e-01 1.229679589187959721e-03 9.352613864266334787e-05
-5.920086658774735833e-01 7.536649042702787682e-01 1.229679589187404609e-03 6.240299285797945572e-05
-5.920086658774735833e-01 7.695315338338635236e-01 1.229679589188292788e-03 3.121717280663016680e-05
-5.920086658774735833e-01 7.853981633974482790e-01 1.969767861754972427e-01 0.000000000000000000e+00
-5.762217681207408848e-01 -7.853981633974482790e-01 2.630213306931177275e-01 0.000000000000000000e+00
-5.762217681207408848e-01 -7.695315338338634126e-01 1.229679589187182565e-03 3.127044660877764670e-05
-5.762217681207408848e-01 -7.536649042702786572e-01 1.229679589188736877e-03 6.250932594320524061e-05
-5.762217681207408848e-01 -7.377982747066937907e-01 1.229679589188181765e-03 9.368510284779585362e-05
-5.762217681207408848e-01 -7.219316451431090353e-01 1.229679589188403810e-03 1.247663063478343659e-04
-5.762217681207408848e-01 -7.060650155795241689e-01 1.229679589188070743e-03 1.557215616694307414e-04
-5.762217681207408848e-01 -6.901983860159394135e-01 1.229679589188181765e-03 1.865196221437770419e-04
-5.762217681207408848e-01 -6.743317564523545471e-01 1.229679589188070743e-03 2.171294009851720830e-04
-5.762217681207408848e-01 -6.584651268887697917e-01 1.229679589188181765e-03 2.475200028967394772e-04
-5.762217681207408848e-01 -6.425984973251849253e-01 1.229679589188070743e-03 2.776607554770826880e-04
-5.762217681207408848e-01 -6.267318677616001699e-01 1.229679589188070743e-03 3.075212403952365392e-04
-5.762217681207408848e-01 -6.108652381980153034e-01 1.229679589187959721e-03 3.370713242965006629e-04
-5.762217681207408848e-01 -5.949986086344305480e-01 1.229679589188070743e-03 3.662811894132866897e-04
-5.762217681207408848e-01 -5.791319790708456816e-01 1.229679589188181765e-03 3.951213638443418219e-04
